"","x","y"
"93",11.0568,0.94088
"94",11.0865,5.16154
"95",2.12551,3.75224
"96",4.0428,10.0985
"97",10.0107,2.6401
"98",1.02106,11.2738
"99",4.61622,3.9169
"100",6.00014,2.63263
"101",10.4338,4.24517
"102",7.3954,3.11081
"103",10.1587,4.10974
"104",11.49,10.2546
"105",2.45513,0.87207
"106",3.2252,4.65746
"107",4.37782,11.3287
"108",10.9001,3.47131
"109",0.844265,3.67924
"110",10.3842,4.26484
"111",5.64983,9.27985
"112",6.47163,1.73293
"113",11.3576,9.24464
"114",6.97029,1.82358
"115",1.19707,11.1177
"116",1.90582,11.0691
"117",7.53533,4.82565
"118",4.52815,9.25449
"119",7.6736,11.1025
"120",9.3238,9.0955
"121",3.93181,10.6005
"122",3.18271,6.78336
"123",4.97456,8.12796
"124",2.12019,7.5898
"125",2.44141,8.398
"126",6.23546,2.90147
"127",11.3328,7.18011
"128",2.80129,10.3266
"129",7.55234,6.89974
"130",9.14882,9.54158
"131",7.47825,4.70851
"132",2.98754,9.2596
"133",7.76409,0.87659
"134",10.0627,1.2463
"135",11.287,6.22222
"136",4.29196,6.17462
"137",2.16598,4.02717
"138",5.82471,9.82956
"139",1.95587,9.62029
"140",6.07856,8.1826
"141",10.0672,5.08801
"142",7.77307,7.0339
"143",7.74406,6.76215
"144",10.7718,10.8627
"145",3.17723,0.75512
"146",4.95929,10.3334
"147",2.20742,6.30766
"148",10.3752,5.10288
"149",6.59416,3.90392
"150",6.77839,6.21004
"151",7.6337,0.860956
"152",0.827399,0.66467
"153",2.24095,5.82367
"154",0.994212,3.4534
"155",0.782666,9.30684
"156",9.45226,0.829343
"157",8.05183,3.96488
"158",5.52204,6.07131
"159",0.776011,3.02318
"160",10.2321,3.96278
"161",9.14105,1.54876
"162",3.60119,1.89488
"163",2.39072,7.32108
"164",6.80053,9.00607
"165",0.87777,0.844883
"166",3.84717,10.0522
"167",7.67339,11.11
"168",7.87867,8.85251
"169",1.29504,7.77842
"170",6.31917,7.21653
"171",9.74055,7.71291
"172",1.68373,11.2835
"173",4.8859,2.52441
"174",10.0037,2.68026
"175",2.14915,2.08411
"176",11.0159,10.5709
"177",1.01871,11.3476
"178",11.1589,9.09366
"179",9.89815,7.46179
"180",8.94124,2.24723
"181",6.19771,0.693423
"182",11.1579,5.94879
"183",4.96067,2.75179
"184",4.35245,5.94899
"185",7.67226,9.32356
"186",2.00445,8.61238
"187",9.19395,2.35347
"188",6.94623,1.57825
"189",6.35819,5.23059
"190",6.65029,6.69156
"191",0.987311,2.1197
"192",4.55989,2.24744
"193",3.14372,6.88851
"194",0.818511,1.96732
"195",7.01845,5.94909
"196",11.098,4.6545
"197",7.6162,1.86877
"198",0.709121,2.00828
"199",0.938029,9.77255
"200",5.48646,4.04402
"201",1.54212,6.31396
"202",4.2912,11.4678
"203",11.0782,1.05699
"204",7.58579,0.645396
"205",1.00681,7.44125
"206",2.21385,11.2928
"207",9.08161,5.64296
"208",2.80442,7.73239
"209",4.1053,6.17968
"210",5.72365,10.2243
"211",5.29286,1.26765
"212",9.81312,0.809031
"213",5.65371,9.6318
"214",8.69396,11.201
"215",9.70817,7.36585
"216",0.88825,3.07741
"217",3.12605,7.86113
"218",11.2778,2.07302
"219",9.25594,1.86061
"220",5.22374,5.11424
"221",4.41237,4.80418
"222",5.29901,7.1214
"223",4.81535,1.6126
"224",3.4861,0.800575
"225",7.23453,10.3639
"226",7.47651,5.02597
"227",10.2743,3.91529
"228",8.93074,7.9804
"229",8.16103,10.3408
