"","x","y"
"189",5.99335,7.71898
"190",3.72936,9.74767
"191",9.94464,0.8083
"192",8.85512,8.66717
"193",6.88465,9.14927
"194",5.12295,6.80618
"195",3.0847,4.1568
"196",9.07973,2.97181
"197",3.2825,11.1467
"198",1.13383,8.0068
"199",11.3614,8.26559
"200",2.49102,11.2479
"201",8.8118,5.07681
"202",8.38656,5.42289
"203",10.2552,11.1939
"204",4.94488,7.774
"205",11.0156,9.1628
"206",10.9928,2.58686
"207",10.1085,7.30006
"208",3.35134,0.840987
"209",4.05012,0.857087
"210",4.0544,4.85668
"211",10.0652,1.05057
"212",3.79495,3.85172
"213",7.4055,4.0555
"214",8.0021,3.12006
"215",11.3616,11.0895
"216",1.92762,5.76705
"217",1.69054,3.74105
"218",7.89931,10.0309
"219",4.62801,9.35843
"220",3.81773,2.65007
"221",2.03072,4.82527
"222",1.71702,9.85577
"223",6.31005,6.20607
"224",2.15284,7.15913
"225",1.0884,11.2063
"226",2.75018,3.81863
"227",3.78209,11.038
"228",1.88018,5.12764
"229",11.1842,7.31343
"230",4.44543,3.60119
"231",3.63813,0.714567
"232",7.83971,10.49
"233",2.72594,1.04252
"234",1.61175,6.13806
"235",3.78615,5.17431
"236",1.40608,0.894993
"237",7.04147,11.3385
"238",0.646649,2.32847
"239",7.04484,8.19132
"240",8.72747,1.13203
"241",5.71242,7.27556
"242",4.98757,10.1343
"243",10.3099,5.46445
"244",9.88576,11.1727
"245",6.879,3.28836
"246",5.59793,2.55058
"247",2.07725,11.0609
"248",6.15017,11.3713
"249",11.3636,5.21576
"250",6.96058,3.03003
"251",7.98401,9.34518
"252",10.0238,8.33334
"253",0.809508,3.34969
"254",10.1022,10.5445
"255",10.2617,4.7207
"256",7.97982,5.02154
"257",9.08266,9.58594
"258",6.6991,10.1099
"259",9.63398,1.98103
"260",7.16719,0.902373
"261",8.13596,10.5679
"262",1.664,8.63555
"263",10.9826,9.68578
"264",4.56755,4.66062
"265",3.97322,0.975389
"266",8.70047,9.15801
"267",9.16435,8.27296
"268",8.0814,3.56175
"269",5.46258,9.27504
"270",2.84146,7.90138
"271",8.90457,11.1245
"272",0.549763,9.829
"273",5.54359,5.44169
"274",3.10874,2.05634
"275",10.6816,9.47367
"276",7.10473,10.3919
"277",2.79141,4.35584
"278",2.49918,9.04844
"279",3.15039,5.71552
"280",0.662044,8.87441
"281",6.92262,9.37905
"282",8.32673,2.14176
"283",8.86254,5.66729
"284",8.66563,1.13121
"285",2.63123,10.0901
"286",4.13854,10.0661
"287",2.43422,3.94646
"288",9.61248,0.789409
"289",0.796623,7.38475
"290",5.84501,9.01457
"291",9.76203,6.59385
"292",11.0055,6.41821
"293",6.3864,5.48553
"294",6.70328,9.50566
"295",7.35213,1.9262
"296",5.32676,2.72154
"297",7.73694,0.874852
"298",3.39401,7.66457
"299",2.25724,2.0878
"300",6.90907,2.97436
"301",9.17157,7.79629
"302",10.8672,2.72872
"303",6.99137,8.21594
"304",11.2634,5.34691
"305",11.3003,2.32099
"306",9.1905,10.4355
"307",0.825663,6.71502
"308",0.938734,10.0265
"309",1.79063,3.94894
"310",4.96498,8.1971
"311",4.06885,5.99536
"312",8.59916,7.23508
"313",2.16499,1.15306
"314",9.07506,1.96741
"315",10.3813,4.46697
"316",7.12482,4.00113
"317",6.42324,5.41054
"318",9.15684,11.1612
"319",0.73513,4.87151
"320",0.732395,11.0216
"321",9.69043,7.06088
"322",4.44215,5.73658
"323",9.69415,5.51424
"324",0.883603,4.63418
"325",4.39603,4.753
"326",11.0916,8.27948
"327",11.4879,8.4665
"328",3.20968,1.42576
"329",9.75389,10.9326
"330",3.59762,4.92737
"331",7.5578,0.797048
"332",6.97184,11.3124
"333",6.19329,10.5821
"334",4.98235,8.01425
"335",0.843517,6.73943
"336",0.759649,9.20817
"337",3.13795,7.53863
"338",3.04195,7.74367
"339",9.14866,7.78992
"340",7.66157,5.01204
"341",5.81692,9.21959
"342",1.70358,9.95885
"343",3.03742,3.20785
"344",8.82171,6.30853
"345",1.56743,8.47049
"346",5.34572,0.869076
"347",11.2109,11.1637
"348",9.45353,5.77138
"349",2.27158,7.35094
"350",10.5268,3.22542
"351",11.2294,7.22977
"352",8.49042,1.44465
"353",4.89119,8.32641
"354",10.2854,5.64398
"355",2.66182,2.27097
"356",1.08278,3.81605
"357",3.16286,6.52141
"358",7.43621,2.07135
"359",11.1903,5.93848
"360",6.93963,3.64262
"361",4.00351,8.28249
"362",10.265,3.75078
"363",6.43295,5.96378
"364",9.94931,2.87696
"365",2.9966,8.86426
"366",8.35271,5.76975
"367",3.70568,10.4995
"368",5.49071,1.55769
"369",7.09781,7.21516
"370",2.67441,6.86958
"371",11.4376,2.7467
"372",2.0574,7.19868
"373",7.45331,4.9376
"374",5.97628,9.26829
"375",0.886167,4.853
"376",11.2371,3.36358
"377",6.24217,0.705926
"378",6.96616,7.24591
"379",7.88187,3.69831
"380",10.3834,2.66135
"381",1.77288,1.87826
"382",5.62658,1.67056
"383",9.93586,0.723427
"384",10.9982,9.61115
"385",6.77625,4.95583
"386",1.40302,9.66535
"387",6.75381,7.02524
"388",1.57165,2.9063
"389",0.712047,6.70098
"390",0.681475,2.09399
"391",11.1092,5.2048
"392",6.53833,8.45368
"393",8.04645,8.13333
"394",6.32843,6.37874
"395",7.94694,10.6331
"396",10.1724,10.3721
"397",2.63224,1.04293
