"","x","y"
"135",4.90667,9.60685
"136",1.02538,8.72987
"137",11.2873,2.29079
"138",5.77385,8.26366
"139",11.2887,10.0033
"140",5.24468,11.3088
"141",8.88486,9.7668
"142",9.99411,5.80381
"143",8.04729,8.88046
"144",7.81794,8.93027
"145",3.24135,0.618309
"146",3.27841,3.21191
"147",7.02268,9.62528
"148",1.71442,3.39021
"149",5.34814,4.97715
"150",7.89808,10.1519
"151",7.64679,5.93886
"152",3.98967,9.78985
"153",11.2991,9.93465
"154",3.78998,10.1957
"155",7.83371,8.82093
"156",4.05609,4.31352
"157",4.13666,8.4929
"158",10.8383,9.97958
"159",7.38232,3.31359
"160",6.48224,7.85416
"161",3.10972,7.61027
"162",11.3058,0.879362
"163",5.35656,3.93177
"164",7.93273,9.21128
"165",11.0299,9.02513
"166",6.72333,1.85859
"167",11.1611,6.98462
"168",9.47478,1.78381
"169",8.71308,8.26623
"170",6.57617,3.94839
"171",4.96953,6.20572
"172",4.98397,10.0475
"173",1.62843,2.65546
"174",6.98211,11.1554
"175",7.32825,6.00751
"176",9.57151,3.52104
"177",7.71705,10.1615
"178",9.7534,5.91007
"179",6.15556,9.79992
"180",9.04907,9.15959
"181",5.46673,1.01877
"182",1.67337,6.88295
"183",1.04749,11.0015
"184",10.5708,11.4724
"185",4.54606,6.57427
"186",9.2213,7.11412
"187",9.70236,1.03685
"188",11.286,5.73353
"189",10.7929,4.67371
"190",8.61336,2.86725
"191",11.0189,8.65407
"192",2.82642,8.80204
"193",9.22765,1.74289
"194",5.81324,0.973758
"195",7.64708,6.90778
"196",10.9058,10.1008
"197",7.63194,4.32854
"198",4.08605,8.49977
"199",0.782536,8.57093
"200",1.21048,11.1358
"201",5.78949,3.96674
"202",0.711261,6.50053
"203",10.1036,10.3146
"204",4.1918,7.12814
"205",6.75531,10.134
"206",2.45034,10.7206
"207",11.0592,4.77092
"208",7.23534,3.08028
"209",6.60157,4.88559
"210",5.43706,0.829716
"211",7.61613,9.20655
"212",8.7234,10.7633
"213",2.34616,8.24022
"214",9.10327,11.188
"215",1.77274,2.60776
"216",6.58208,8.38608
"217",8.53369,1.84076
"218",7.53201,5.93165
"219",7.23869,9.65609
"220",10.8612,2.64786
"221",8.143,4.04864
"222",5.22687,9.86167
"223",10.3136,8.96997
"224",8.6222,0.727321
"225",4.29682,4.2165
"226",4.53618,1.72758
"227",7.41973,3.09499
"228",0.691998,8.76446
"229",11.4318,5.55085
"230",4.44377,4.38804
"231",4.52134,6.80628
"232",10.9611,9.87284
"233",10.8424,4.45141
"234",1.91373,6.96967
"235",9.96626,9.24656
"236",8.68406,2.96595
"237",3.2975,4.7597
"238",9.05004,11.2787
"239",10.7207,9.96784
"240",5.48249,3.81407
"241",10.985,7.66546
"242",10.151,9.25878
"243",5.1616,9.84128
"244",1.74187,1.85631
"245",3.29498,7.82777
"246",6.38295,2.69973
"247",11.3327,10.8679
"248",8.32502,2.99126
"249",8.0439,8.72808
"250",10.9892,10.045
"251",10.8847,2.56739
"252",1.16904,4.45964
"253",3.09314,4.6792
"254",0.838846,3.11696
"255",10.0006,11.3221
"256",6.68298,0.604417
"257",2.38167,10.8057
"258",3.51191,3.1477
"259",2.1377,9.5979
"260",8.01686,3.56809
"261",10.2318,0.775364
"262",5.90336,8.62319
"263",3.25581,7.65634
"264",8.54402,4.13514
"265",6.69278,10.754
"266",10.1311,6.8663
"267",11.2662,4.58527
"268",1.58542,3.35374
"269",8.82451,7.33453
"270",10.8961,2.60333
"271",6.3384,11.1252
"272",8.72604,0.802942
"273",3.72395,11.1359
"274",10.9691,5.57496
"275",1.65653,0.902723
"276",10.4989,7.70679
"277",3.31579,3.19694
"278",0.883432,2.92362
"279",0.871612,3.09811
"280",9.97597,1.1748
"281",0.946337,7.36644
"282",5.5937,2.13177
"283",0.70255,6.6547
"284",3.18775,3.33256
"285",0.821391,1.00777
"286",6.57382,5.27735
"287",6.55888,7.74379
"288",5.51741,2.24892
"289",9.25257,4.43565
"290",1.34223,4.02989
"291",10.1023,3.26866
"292",7.56317,4.44735
"293",4.23963,8.76762
"294",9.88514,8.0129
"295",11.3395,10.9707
"296",5.52151,3.45625
"297",4.43183,5.16936
"298",4.7524,0.661365
"299",10.0948,5.55943
"300",9.99139,7.90839
"301",2.69343,5.34637
"302",7.89808,11.3628
"303",2.6212,11.1733
"304",11.3286,2.60345
"305",5.78279,6.30012
"306",6.86373,5.34383
"307",1.24243,1.78392
"308",0.680645,11.134
"309",1.23937,0.807168
"310",2.08851,4.83566
"311",3.28408,2.18802
"312",7.61249,1.04111
"313",5.26755,8.52031
"314",2.27997,2.2954
